time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,mvpa,vpa,met
00:00:00,2016-08-29,89,108,00:00:00,0,0,35,2016-08-29 00:00:00,a001,0,0,0
00:15:00,2016-08-29,75,132,00:15:00,1,0,35,2016-08-29 00:15:00,a001,0,0,0
00:45:00,2016-08-29,65,25,00:45:00,3,0,35,2016-08-29 00:45:00,a001,0,0,0
01:00:00,2016-08-29,60,7,01:00:00,4,0,35,2016-08-29 01:00:00,a001,0,0,0
01:30:00,2016-08-29,57,32,01:30:00,6,0,35,2016-08-29 01:30:00,a001,0,0,0
01:45:00,2016-08-29,56,10,01:45:00,7,0,35,2016-08-29 01:45:00,a001,0,0,0
03:30:00,2016-08-29,54,7,03:30:00,14,0,35,2016-08-29 03:30:00,a001,0,0,0
04:00:00,2016-08-29,52,9,04:00:00,16,0,35,2016-08-29 04:00:00,a001,0,0,0
05:00:00,2016-08-29,55,11,05:00:00,20,0,35,2016-08-29 05:00:00,a001,0,0,0
05:15:00,2016-08-29,56,7,05:15:00,21,0,35,2016-08-29 05:15:00,a001,0,0,0
06:30:00,2016-08-29,55,9,06:30:00,26,0,35,2016-08-29 06:30:00,a001,0,0,0
07:30:00,2016-08-29,57,6,07:30:00,30,0,35,2016-08-29 07:30:00,a001,0,0,0
08:00:00,2016-08-29,58,28,08:00:00,32,0,35,2016-08-29 08:00:00,a001,0,0,0
08:45:00,2016-08-29,58,11,08:45:00,35,0,35,2016-08-29 08:45:00,a001,0,0,0
09:15:00,2016-08-29,67,6,09:15:00,37,0,35,2016-08-29 09:15:00,a001,0,0,0
09:30:00,2016-08-29,84,217,09:30:00,38,0,35,2016-08-29 09:30:00,a001,0,0,0
09:45:00,2016-08-29,93,555,09:45:00,39,0,35,2016-08-29 09:45:00,a001,0,0,0
10:00:00,2016-08-29,110,573,10:00:00,40,0,35,2016-08-29 10:00:00,a001,0,0,0
10:15:00,2016-08-29,112,154,10:15:00,41,0,35,2016-08-29 10:15:00,a001,0,0,0
10:30:00,2016-08-29,102,490,10:30:00,42,0,35,2016-08-29 10:30:00,a001,0,0,0
10:45:00,2016-08-29,111,298,10:45:00,43,0,35,2016-08-29 10:45:00,a001,0,0,0
11:00:00,2016-08-29,104,77,11:00:00,44,0,35,2016-08-29 11:00:00,a001,0,0,0
11:15:00,2016-08-29,94,85,11:15:00,45,0,35,2016-08-29 11:15:00,a001,0,0,0
11:30:00,2016-08-29,103,352,11:30:00,46,0,35,2016-08-29 11:30:00,a001,0,0,0
11:45:00,2016-08-29,108,160,11:45:00,47,0,35,2016-08-29 11:45:00,a001,0,0,0
12:00:00,2016-08-29,93,129,12:00:00,48,0,35,2016-08-29 12:00:00,a001,0,0,0
12:15:00,2016-08-29,87,12,12:15:00,49,0,35,2016-08-29 12:15:00,a001,0,0,0
12:30:00,2016-08-29,83,6,12:30:00,50,0,35,2016-08-29 12:30:00,a001,0,0,0
13:15:00,2016-08-29,74,30,13:15:00,53,0,35,2016-08-29 13:15:00,a001,0,0,0
13:30:00,2016-08-29,103,366,13:30:00,54,0,35,2016-08-29 13:30:00,a001,0,0,0
13:45:00,2016-08-29,108,657,13:45:00,55,0,35,2016-08-29 13:45:00,a001,0,0,0
15:00:00,2016-08-29,67,8,15:00:00,60,0,35,2016-08-29 15:00:00,a001,0,0,0
15:30:00,2016-08-29,82,312,15:30:00,62,0,35,2016-08-29 15:30:00,a001,0,0,0
15:45:00,2016-08-29,91,458,15:45:00,63,0,35,2016-08-29 15:45:00,a001,0,0,0
16:00:00,2016-08-29,81,40,16:00:00,64,0,35,2016-08-29 16:00:00,a001,0,0,0
16:15:00,2016-08-29,92,426,16:15:00,65,0,35,2016-08-29 16:15:00,a001,0,0,0
17:00:00,2016-08-29,71,24,17:00:00,68,0,35,2016-08-29 17:00:00,a001,0,0,0
18:00:00,2016-08-29,86,86,18:00:00,72,0,35,2016-08-29 18:00:00,a001,0,0,0
18:15:00,2016-08-29,103,226,18:15:00,73,0,35,2016-08-29 18:15:00,a001,0,0,0
18:30:00,2016-08-29,100,238,18:30:00,74,0,35,2016-08-29 18:30:00,a001,0,0,0
18:45:00,2016-08-29,115,708,18:45:00,75,0,35,2016-08-29 18:45:00,a001,0,0,0
19:00:00,2016-08-29,112,388,19:00:00,76,0,35,2016-08-29 19:00:00,a001,0,0,0
19:15:00,2016-08-29,104,166,19:15:00,77,0,35,2016-08-29 19:15:00,a001,0,0,0
19:30:00,2016-08-29,96,46,19:30:00,78,0,35,2016-08-29 19:30:00,a001,0,0,0
20:00:00,2016-08-29,86,34,20:00:00,80,0,35,2016-08-29 20:00:00,a001,0,0,0
20:15:00,2016-08-29,101,240,20:15:00,81,0,35,2016-08-29 20:15:00,a001,0,0,0
20:30:00,2016-08-29,95,108,20:30:00,82,0,35,2016-08-29 20:30:00,a001,0,0,0
20:45:00,2016-08-29,97,109,20:45:00,83,0,35,2016-08-29 20:45:00,a001,0,0,0
21:00:00,2016-08-29,97,127,21:00:00,84,0,35,2016-08-29 21:00:00,a001,0,0,0
21:15:00,2016-08-29,99,862,21:15:00,85,0,35,2016-08-29 21:15:00,a001,0,0,0
21:30:00,2016-08-29,105,1043,21:30:00,86,0,35,2016-08-29 21:30:00,a001,0,0,0
21:45:00,2016-08-29,110,408,21:45:00,87,0,35,2016-08-29 21:45:00,a001,0,0,0
00:00:00,2016-08-30,88,25,00:00:00,0,1,35,2016-08-30 00:00:00,a001,0,0,0
00:15:00,2016-08-30,77,94,00:15:00,1,1,35,2016-08-30 00:15:00,a001,0,0,0
00:30:00,2016-08-30,72,63,00:30:00,2,1,35,2016-08-30 00:30:00,a001,0,0,0
00:45:00,2016-08-30,70,23,00:45:00,3,1,35,2016-08-30 00:45:00,a001,0,0,0
01:00:00,2016-08-30,72,11,01:00:00,4,1,35,2016-08-30 01:00:00,a001,0,0,0
01:15:00,2016-08-30,70,43,01:15:00,5,1,35,2016-08-30 01:15:00,a001,0,0,0
01:45:00,2016-08-30,60,15,01:45:00,7,1,35,2016-08-30 01:45:00,a001,0,0,0
02:15:00,2016-08-30,56,7,02:15:00,9,1,35,2016-08-30 02:15:00,a001,0,0,0
07:15:00,2016-08-30,56,7,07:15:00,29,1,35,2016-08-30 07:15:00,a001,0,0,0
09:00:00,2016-08-30,86,335,09:00:00,36,1,35,2016-08-30 09:00:00,a001,0,0,0
09:15:00,2016-08-30,89,206,09:15:00,37,1,35,2016-08-30 09:15:00,a001,0,0,0
09:30:00,2016-08-30,108,390,09:30:00,38,1,35,2016-08-30 09:30:00,a001,0,0,0
09:45:00,2016-08-30,106,375,09:45:00,39,1,35,2016-08-30 09:45:00,a001,0,0,0
10:00:00,2016-08-30,100,480,10:00:00,40,1,35,2016-08-30 10:00:00,a001,0,0,0
10:15:00,2016-08-30,91,305,10:15:00,41,1,35,2016-08-30 10:15:00,a001,0,0,0
10:30:00,2016-08-30,94,115,10:30:00,42,1,35,2016-08-30 10:30:00,a001,0,0,0
10:45:00,2016-08-30,82,7,10:45:00,43,1,35,2016-08-30 10:45:00,a001,0,0,0
11:00:00,2016-08-30,79,13,11:00:00,44,1,35,2016-08-30 11:00:00,a001,0,0,0
11:30:00,2016-08-30,77,9,11:30:00,46,1,35,2016-08-30 11:30:00,a001,0,0,0
11:45:00,2016-08-30,80,56,11:45:00,47,1,35,2016-08-30 11:45:00,a001,0,0,0
12:15:00,2016-08-30,76,19,12:15:00,49,1,35,2016-08-30 12:15:00,a001,0,0,0
13:00:00,2016-08-30,73,6,13:00:00,52,1,35,2016-08-30 13:00:00,a001,0,0,0
13:45:00,2016-08-30,71,83,13:45:00,55,1,35,2016-08-30 13:45:00,a001,0,0,0
14:00:00,2016-08-30,68,38,14:00:00,56,1,35,2016-08-30 14:00:00,a001,0,0,0
14:45:00,2016-08-30,67,35,14:45:00,59,1,35,2016-08-30 14:45:00,a001,0,0,0
15:00:00,2016-08-30,100,909,15:00:00,60,1,35,2016-08-30 15:00:00,a001,0,0,0
15:45:00,2016-08-30,76,42,15:45:00,63,1,35,2016-08-30 15:45:00,a001,0,0,0
16:30:00,2016-08-30,78,83,16:30:00,66,1,35,2016-08-30 16:30:00,a001,0,0,0
17:15:00,2016-08-30,92,187,17:15:00,69,1,35,2016-08-30 17:15:00,a001,0,0,0
17:30:00,2016-08-30,87,33,17:30:00,70,1,35,2016-08-30 17:30:00,a001,0,0,0
17:45:00,2016-08-30,80,22,17:45:00,71,1,35,2016-08-30 17:45:00,a001,0,0,0
18:00:00,2016-08-30,77,7,18:00:00,72,1,35,2016-08-30 18:00:00,a001,0,0,0
18:30:00,2016-08-30,77,27,18:30:00,74,1,35,2016-08-30 18:30:00,a001,0,0,0
