time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id
00:00:00,2016-10-03,63,9,00:00:00,0,0,40,2016-10-03 00:00:00,a001
00:15:00,2016-10-03,0,0,00:15:00,1,0,40,2016-10-03 00:15:00,a001
00:30:00,2016-10-03,0,0,00:30:00,2,0,40,2016-10-03 00:30:00,a001
00:45:00,2016-10-03,67,58,00:45:00,3,0,40,2016-10-03 00:45:00,a001
01:00:00,2016-10-03,57,0,01:00:00,4,0,40,2016-10-03 01:00:00,a001
01:15:00,2016-10-03,54,0,01:15:00,5,0,40,2016-10-03 01:15:00,a001
01:30:00,2016-10-03,55,0,01:30:00,6,0,40,2016-10-03 01:30:00,a001
01:45:00,2016-10-03,56,9,01:45:00,7,0,40,2016-10-03 01:45:00,a001
02:00:00,2016-10-03,66,8,02:00:00,8,0,40,2016-10-03 02:00:00,a001
02:15:00,2016-10-03,58,16,02:15:00,9,0,40,2016-10-03 02:15:00,a001
02:30:00,2016-10-03,58,0,02:30:00,10,0,40,2016-10-03 02:30:00,a001
02:45:00,2016-10-03,57,0,02:45:00,11,0,40,2016-10-03 02:45:00,a001
03:00:00,2016-10-03,58,0,03:00:00,12,0,40,2016-10-03 03:00:00,a001
03:15:00,2016-10-03,58,0,03:15:00,13,0,40,2016-10-03 03:15:00,a001
03:30:00,2016-10-03,56,33,03:30:00,14,0,40,2016-10-03 03:30:00,a001
03:45:00,2016-10-03,49,0,03:45:00,15,0,40,2016-10-03 03:45:00,a001
04:00:00,2016-10-03,46,0,04:00:00,16,0,40,2016-10-03 04:00:00,a001
04:15:00,2016-10-03,46,0,04:15:00,17,0,40,2016-10-03 04:15:00,a001
04:30:00,2016-10-03,46,0,04:30:00,18,0,40,2016-10-03 04:30:00,a001
04:45:00,2016-10-03,53,0,04:45:00,19,0,40,2016-10-03 04:45:00,a001
05:00:00,2016-10-03,48,0,05:00:00,20,0,40,2016-10-03 05:00:00,a001
05:15:00,2016-10-03,51,7,05:15:00,21,0,40,2016-10-03 05:15:00,a001
05:30:00,2016-10-03,48,0,05:30:00,22,0,40,2016-10-03 05:30:00,a001
05:45:00,2016-10-03,50,0,05:45:00,23,0,40,2016-10-03 05:45:00,a001
06:00:00,2016-10-03,53,0,06:00:00,24,0,40,2016-10-03 06:00:00,a001
06:15:00,2016-10-03,56,0,06:15:00,25,0,40,2016-10-03 06:15:00,a001
06:30:00,2016-10-03,61,0,06:30:00,26,0,40,2016-10-03 06:30:00,a001
06:45:00,2016-10-03,54,0,06:45:00,27,0,40,2016-10-03 06:45:00,a001
07:00:00,2016-10-03,54,7,07:00:00,28,0,40,2016-10-03 07:00:00,a001
07:15:00,2016-10-03,50,0,07:15:00,29,0,40,2016-10-03 07:15:00,a001
07:30:00,2016-10-03,51,0,07:30:00,30,0,40,2016-10-03 07:30:00,a001
07:45:00,2016-10-03,52,0,07:45:00,31,0,40,2016-10-03 07:45:00,a001
08:00:00,2016-10-03,54,0,08:00:00,32,0,40,2016-10-03 08:00:00,a001
08:15:00,2016-10-03,51,0,08:15:00,33,0,40,2016-10-03 08:15:00,a001
08:30:00,2016-10-03,61,0,08:30:00,34,0,40,2016-10-03 08:30:00,a001
08:45:00,2016-10-03,60,0,08:45:00,35,0,40,2016-10-03 08:45:00,a001
09:00:00,2016-10-03,71,70,09:00:00,36,0,40,2016-10-03 09:00:00,a001
09:15:00,2016-10-03,86,251,09:15:00,37,0,40,2016-10-03 09:15:00,a001
09:30:00,2016-10-03,113,554,09:30:00,38,0,40,2016-10-03 09:30:00,a001
09:45:00,2016-10-03,113,726,09:45:00,39,0,40,2016-10-03 09:45:00,a001
10:00:00,2016-10-03,99,482,10:00:00,40,0,40,2016-10-03 10:00:00,a001
10:15:00,2016-10-03,112,919,10:15:00,41,0,40,2016-10-03 10:15:00,a001
10:30:00,2016-10-03,75,0,10:30:00,42,0,40,2016-10-03 10:30:00,a001
10:45:00,2016-10-03,90,336,10:45:00,43,0,40,2016-10-03 10:45:00,a001
11:00:00,2016-10-03,82,317,11:00:00,44,0,40,2016-10-03 11:00:00,a001
11:15:00,2016-10-03,92,690,11:15:00,45,0,40,2016-10-03 11:15:00,a001
11:30:00,2016-10-03,82,0,11:30:00,46,0,40,2016-10-03 11:30:00,a001
11:45:00,2016-10-03,92,0,11:45:00,47,0,40,2016-10-03 11:45:00,a001
12:00:00,2016-10-03,86,35,12:00:00,48,0,40,2016-10-03 12:00:00,a001
12:15:00,2016-10-03,88,244,12:15:00,49,0,40,2016-10-03 12:15:00,a001
12:30:00,2016-10-03,99,408,12:30:00,50,0,40,2016-10-03 12:30:00,a001
12:45:00,2016-10-03,83,243,12:45:00,51,0,40,2016-10-03 12:45:00,a001
13:00:00,2016-10-03,81,17,13:00:00,52,0,40,2016-10-03 13:00:00,a001
13:15:00,2016-10-03,74,0,13:15:00,53,0,40,2016-10-03 13:15:00,a001
13:30:00,2016-10-03,71,10,13:30:00,54,0,40,2016-10-03 13:30:00,a001
13:45:00,2016-10-03,67,0,13:45:00,55,0,40,2016-10-03 13:45:00,a001
14:00:00,2016-10-03,70,0,14:00:00,56,0,40,2016-10-03 14:00:00,a001
14:15:00,2016-10-03,68,0,14:15:00,57,0,40,2016-10-03 14:15:00,a001
14:30:00,2016-10-03,70,0,14:30:00,58,0,40,2016-10-03 14:30:00,a001
14:45:00,2016-10-03,71,0,14:45:00,59,0,40,2016-10-03 14:45:00,a001
15:00:00,2016-10-03,69,0,15:00:00,60,0,40,2016-10-03 15:00:00,a001
15:15:00,2016-10-03,81,54,15:15:00,61,0,40,2016-10-03 15:15:00,a001
15:30:00,2016-10-03,77,0,15:30:00,62,0,40,2016-10-03 15:30:00,a001
15:45:00,2016-10-03,75,0,15:45:00,63,0,40,2016-10-03 15:45:00,a001
16:00:00,2016-10-03,77,58,16:00:00,64,0,40,2016-10-03 16:00:00,a001
16:15:00,2016-10-03,74,0,16:15:00,65,0,40,2016-10-03 16:15:00,a001
16:30:00,2016-10-03,69,0,16:30:00,66,0,40,2016-10-03 16:30:00,a001
16:45:00,2016-10-03,68,0,16:45:00,67,0,40,2016-10-03 16:45:00,a001
17:00:00,2016-10-03,73,30,17:00:00,68,0,40,2016-10-03 17:00:00,a001
17:15:00,2016-10-03,69,0,17:15:00,69,0,40,2016-10-03 17:15:00,a001
17:30:00,2016-10-03,71,31,17:30:00,70,0,40,2016-10-03 17:30:00,a001
17:45:00,2016-10-03,73,67,17:45:00,71,0,40,2016-10-03 17:45:00,a001
18:00:00,2016-10-03,66,0,18:00:00,72,0,40,2016-10-03 18:00:00,a001
18:15:00,2016-10-03,73,49,18:15:00,73,0,40,2016-10-03 18:15:00,a001
18:30:00,2016-10-03,100,706,18:30:00,74,0,40,2016-10-03 18:30:00,a001
18:45:00,2016-10-03,78,0,18:45:00,75,0,40,2016-10-03 18:45:00,a001
19:00:00,2016-10-03,82,35,19:00:00,76,0,40,2016-10-03 19:00:00,a001
19:15:00,2016-10-03,104,307,19:15:00,77,0,40,2016-10-03 19:15:00,a001
19:30:00,2016-10-03,85,101,19:30:00,78,0,40,2016-10-03 19:30:00,a001
19:45:00,2016-10-03,71,0,19:45:00,79,0,40,2016-10-03 19:45:00,a001
20:00:00,2016-10-03,71,9,20:00:00,80,0,40,2016-10-03 20:00:00,a001
20:15:00,2016-10-03,71,0,20:15:00,81,0,40,2016-10-03 20:15:00,a001
20:30:00,2016-10-03,70,55,20:30:00,82,0,40,2016-10-03 20:30:00,a001
20:45:00,2016-10-03,71,42,20:45:00,83,0,40,2016-10-03 20:45:00,a001
21:00:00,2016-10-03,70,0,21:00:00,84,0,40,2016-10-03 21:00:00,a001
21:15:00,2016-10-03,80,79,21:15:00,85,0,40,2016-10-03 21:15:00,a001
21:30:00,2016-10-03,83,132,21:30:00,86,0,40,2016-10-03 21:30:00,a001
21:45:00,2016-10-03,80,20,21:45:00,87,0,40,2016-10-03 21:45:00,a001
22:00:00,2016-10-03,0,0,22:00:00,88,0,40,2016-10-03 22:00:00,a001
22:15:00,2016-10-03,0,0,22:15:00,89,0,40,2016-10-03 22:15:00,a001
22:30:00,2016-10-03,0,0,22:30:00,90,0,40,2016-10-03 22:30:00,a001
22:45:00,2016-10-03,0,0,22:45:00,91,0,40,2016-10-03 22:45:00,a001
23:00:00,2016-10-03,85,8,23:00:00,92,0,40,2016-10-03 23:00:00,a001
23:15:00,2016-10-03,0,0,23:15:00,93,0,40,2016-10-03 23:15:00,a001
23:30:00,2016-10-03,70,0,23:30:00,94,0,40,2016-10-03 23:30:00,a001
23:45:00,2016-10-03,67,7,23:45:00,95,0,40,2016-10-03 23:45:00,a001
