time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id
00:00:00,2016-11-07,62,0,00:00:00,0,0,45,2016-11-07 00:00:00,a001
00:15:00,2016-11-07,64,0,00:15:00,1,0,45,2016-11-07 00:15:00,a001
00:30:00,2016-11-07,73,0,00:30:00,2,0,45,2016-11-07 00:30:00,a001
00:45:00,2016-11-07,76,0,00:45:00,3,0,45,2016-11-07 00:45:00,a001
01:00:00,2016-11-07,55,0,01:00:00,4,0,45,2016-11-07 01:00:00,a001
01:15:00,2016-11-07,50,0,01:15:00,5,0,45,2016-11-07 01:15:00,a001
01:30:00,2016-11-07,50,0,01:30:00,6,0,45,2016-11-07 01:30:00,a001
01:45:00,2016-11-07,48,0,01:45:00,7,0,45,2016-11-07 01:45:00,a001
02:00:00,2016-11-07,50,0,02:00:00,8,0,45,2016-11-07 02:00:00,a001
02:15:00,2016-11-07,57,0,02:15:00,9,0,45,2016-11-07 02:15:00,a001
02:30:00,2016-11-07,53,0,02:30:00,10,0,45,2016-11-07 02:30:00,a001
02:45:00,2016-11-07,51,0,02:45:00,11,0,45,2016-11-07 02:45:00,a001
03:00:00,2016-11-07,51,0,03:00:00,12,0,45,2016-11-07 03:00:00,a001
03:15:00,2016-11-07,54,0,03:15:00,13,0,45,2016-11-07 03:15:00,a001
03:30:00,2016-11-07,54,0,03:30:00,14,0,45,2016-11-07 03:30:00,a001
03:45:00,2016-11-07,58,0,03:45:00,15,0,45,2016-11-07 03:45:00,a001
04:00:00,2016-11-07,52,0,04:00:00,16,0,45,2016-11-07 04:00:00,a001
04:15:00,2016-11-07,48,0,04:15:00,17,0,45,2016-11-07 04:15:00,a001
04:30:00,2016-11-07,48,0,04:30:00,18,0,45,2016-11-07 04:30:00,a001
04:45:00,2016-11-07,50,0,04:45:00,19,0,45,2016-11-07 04:45:00,a001
05:00:00,2016-11-07,54,0,05:00:00,20,0,45,2016-11-07 05:00:00,a001
05:15:00,2016-11-07,59,0,05:15:00,21,0,45,2016-11-07 05:15:00,a001
05:30:00,2016-11-07,53,0,05:30:00,22,0,45,2016-11-07 05:30:00,a001
05:45:00,2016-11-07,50,0,05:45:00,23,0,45,2016-11-07 05:45:00,a001
06:00:00,2016-11-07,54,0,06:00:00,24,0,45,2016-11-07 06:00:00,a001
06:15:00,2016-11-07,56,0,06:15:00,25,0,45,2016-11-07 06:15:00,a001
06:30:00,2016-11-07,70,0,06:30:00,26,0,45,2016-11-07 06:30:00,a001
06:45:00,2016-11-07,77,0,06:45:00,27,0,45,2016-11-07 06:45:00,a001
07:00:00,2016-11-07,88,0,07:00:00,28,0,45,2016-11-07 07:00:00,a001
07:15:00,2016-11-07,72,0,07:15:00,29,0,45,2016-11-07 07:15:00,a001
07:30:00,2016-11-07,72,0,07:30:00,30,0,45,2016-11-07 07:30:00,a001
07:45:00,2016-11-07,77,0,07:45:00,31,0,45,2016-11-07 07:45:00,a001
08:00:00,2016-11-07,97,0,08:00:00,32,0,45,2016-11-07 08:00:00,a001
08:15:00,2016-11-07,84,0,08:15:00,33,0,45,2016-11-07 08:15:00,a001
08:30:00,2016-11-07,108,0,08:30:00,34,0,45,2016-11-07 08:30:00,a001
08:45:00,2016-11-07,105,0,08:45:00,35,0,45,2016-11-07 08:45:00,a001
09:00:00,2016-11-07,106,0,09:00:00,36,0,45,2016-11-07 09:00:00,a001
09:15:00,2016-11-07,91,0,09:15:00,37,0,45,2016-11-07 09:15:00,a001
09:30:00,2016-11-07,86,0,09:30:00,38,0,45,2016-11-07 09:30:00,a001
09:45:00,2016-11-07,74,0,09:45:00,39,0,45,2016-11-07 09:45:00,a001
10:00:00,2016-11-07,79,0,10:00:00,40,0,45,2016-11-07 10:00:00,a001
10:15:00,2016-11-07,78,0,10:15:00,41,0,45,2016-11-07 10:15:00,a001
10:30:00,2016-11-07,82,0,10:30:00,42,0,45,2016-11-07 10:30:00,a001
10:45:00,2016-11-07,80,0,10:45:00,43,0,45,2016-11-07 10:45:00,a001
11:00:00,2016-11-07,81,0,11:00:00,44,0,45,2016-11-07 11:00:00,a001
11:15:00,2016-11-07,93,0,11:15:00,45,0,45,2016-11-07 11:15:00,a001
11:30:00,2016-11-07,83,0,11:30:00,46,0,45,2016-11-07 11:30:00,a001
11:45:00,2016-11-07,70,0,11:45:00,47,0,45,2016-11-07 11:45:00,a001
12:00:00,2016-11-07,91,0,12:00:00,48,0,45,2016-11-07 12:00:00,a001
12:15:00,2016-11-07,101,0,12:15:00,49,0,45,2016-11-07 12:15:00,a001
12:30:00,2016-11-07,83,0,12:30:00,50,0,45,2016-11-07 12:30:00,a001
12:45:00,2016-11-07,71,0,12:45:00,51,0,45,2016-11-07 12:45:00,a001
13:00:00,2016-11-07,76,0,13:00:00,52,0,45,2016-11-07 13:00:00,a001
13:15:00,2016-11-07,72,0,13:15:00,53,0,45,2016-11-07 13:15:00,a001
13:30:00,2016-11-07,83,0,13:30:00,54,0,45,2016-11-07 13:30:00,a001
13:45:00,2016-11-07,81,0,13:45:00,55,0,45,2016-11-07 13:45:00,a001
14:00:00,2016-11-07,78,0,14:00:00,56,0,45,2016-11-07 14:00:00,a001
