,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong,1,2,3,4,5,6,7
672,00:00:00,2016-11-14,0,0,00:00:00,0,0,46,2016-11-14 00:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,00:15:00,2016-11-14,0,0,00:15:00,1,0,46,2016-11-14 00:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,00:30:00,2016-11-14,91,33,00:30:00,2,0,46,2016-11-14 00:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,00:45:00,2016-11-14,71,152,00:45:00,3,0,46,2016-11-14 00:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,01:00:00,2016-11-14,58,0,01:00:00,4,0,46,2016-11-14 01:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,01:15:00,2016-11-14,53,0,01:15:00,5,0,46,2016-11-14 01:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,01:30:00,2016-11-14,53,0,01:30:00,6,0,46,2016-11-14 01:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,01:45:00,2016-11-14,53,0,01:45:00,7,0,46,2016-11-14 01:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,02:00:00,2016-11-14,56,0,02:00:00,8,0,46,2016-11-14 02:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
681,02:15:00,2016-11-14,57,0,02:15:00,9,0,46,2016-11-14 02:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
682,02:30:00,2016-11-14,55,7,02:30:00,10,0,46,2016-11-14 02:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
