,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong
0,00:00:00,2016-08-29,89,108,00:00:00,0,0,35,2016-08-29 00:00:00,a001,False,0,0
1,00:15:00,2016-08-29,75,132,00:15:00,1,0,35,2016-08-29 00:15:00,a001,False,0,0
2,00:30:00,2016-08-29,63,0,00:30:00,2,0,35,2016-08-29 00:30:00,a001,False,0,0
3,00:45:00,2016-08-29,65,25,00:45:00,3,0,35,2016-08-29 00:45:00,a001,False,0,0
4,01:00:00,2016-08-29,60,7,01:00:00,4,0,35,2016-08-29 01:00:00,a001,False,0,0
5,01:15:00,2016-08-29,55,0,01:15:00,5,0,35,2016-08-29 01:15:00,a001,False,0,0
6,01:30:00,2016-08-29,57,32,01:30:00,6,0,35,2016-08-29 01:30:00,a001,False,0,0
7,01:45:00,2016-08-29,56,10,01:45:00,7,0,35,2016-08-29 01:45:00,a001,False,0,0
8,02:00:00,2016-08-29,55,0,02:00:00,8,0,35,2016-08-29 02:00:00,a001,False,0,0
9,02:15:00,2016-08-29,59,0,02:15:00,9,0,35,2016-08-29 02:15:00,a001,False,0,0
10,02:30:00,2016-08-29,55,0,02:30:00,10,0,35,2016-08-29 02:30:00,a001,False,0,0
11,02:45:00,2016-08-29,55,0,02:45:00,11,0,35,2016-08-29 02:45:00,a001,False,0,0
12,03:00:00,2016-08-29,54,0,03:00:00,12,0,35,2016-08-29 03:00:00,a001,False,0,0
13,03:15:00,2016-08-29,54,0,03:15:00,13,0,35,2016-08-29 03:15:00,a001,False,0,0
14,03:30:00,2016-08-29,54,7,03:30:00,14,0,35,2016-08-29 03:30:00,a001,False,0,0
15,03:45:00,2016-08-29,57,0,03:45:00,15,0,35,2016-08-29 03:45:00,a001,False,0,0
16,04:00:00,2016-08-29,52,9,04:00:00,16,0,35,2016-08-29 04:00:00,a001,False,0,0
17,04:15:00,2016-08-29,51,0,04:15:00,17,0,35,2016-08-29 04:15:00,a001,False,0,0
18,04:30:00,2016-08-29,51,0,04:30:00,18,0,35,2016-08-29 04:30:00,a001,False,0,0
19,04:45:00,2016-08-29,50,0,04:45:00,19,0,35,2016-08-29 04:45:00,a001,False,0,0
20,05:00:00,2016-08-29,55,11,05:00:00,20,0,35,2016-08-29 05:00:00,a001,False,0,0
21,05:15:00,2016-08-29,56,7,05:15:00,21,0,35,2016-08-29 05:15:00,a001,False,0,0
22,05:30:00,2016-08-29,52,0,05:30:00,22,0,35,2016-08-29 05:30:00,a001,False,0,0
23,05:45:00,2016-08-29,54,0,05:45:00,23,0,35,2016-08-29 05:45:00,a001,False,0,0
24,06:00:00,2016-08-29,56,0,06:00:00,24,0,35,2016-08-29 06:00:00,a001,False,0,0
25,06:15:00,2016-08-29,55,0,06:15:00,25,0,35,2016-08-29 06:15:00,a001,False,0,0
26,06:30:00,2016-08-29,55,9,06:30:00,26,0,35,2016-08-29 06:30:00,a001,False,0,0
27,06:45:00,2016-08-29,52,0,06:45:00,27,0,35,2016-08-29 06:45:00,a001,False,0,0
28,07:00:00,2016-08-29,51,0,07:00:00,28,0,35,2016-08-29 07:00:00,a001,False,0,0
29,07:15:00,2016-08-29,53,0,07:15:00,29,0,35,2016-08-29 07:15:00,a001,False,0,0
